['name', 'birthday', 'gender', 'genres']
['Pooch Tavares', '1942-11-12', 'male', '']
['Geordie', 'n.a.', 'male', '']
['Rudolph Isley', '1939-04-01', 'male', '']
['Francis Monkman', '1949-06-09', 'male', '']
['Ian Bairnson', '1953-08-03', 'male', '']
['Martin Duffy', '1967-05-18', 'male', '']
['Sven Hedlund', '1945-03-01', 'male', '']
['Anton Fier', '1956-06-20', 'male', '']
['Vincent DeRosa', '1920-10-05', 'male', '']
['Andrew Woolfolk', '1950-10-11', 'male', '']
['Kurt Ostbahn', '1948-12-21', 'male', '']
['Dick Halligan', '1943-08-29', 'male', '']
['Michael Chung', '1950', 'female', '']
['Terry Uttley', '1951-06-09', 'male', '']
['Phil Chen', '1940-12-25', 'male', '']
['Michael Nesmith', '1942-12-30', 'male', '']
['Ralph Tavares', '1941-12-10', 'male', '']
['János Kóbor', '1943-05-17', 'male', '']
['John Miles', '1949-04-23', 'male', '']
['Mirco Nontschew', '1969-10-29', 'male', '']
['Volker Lechtenbrink', '1944-08-18', 'male', '']
['Graeme Edge', '1941-03-30', 'male', '']
['John Rossall', '1943-11-26', 'male', '']
['Alan Lancaster', '1949-02-07', 'male', '']
['Lee "Scratch" Perry', '1959-12-16', 'male', '']
['Ron Bushy', '1941-12-23', 'male', '']
['Don Everly', '1937-02-01', 'male', '']
['Mike Finnigan', '1945-04-26', 'male', '']
['Robby Steinhardt', '1950-05-25', 'male', '']
['Roger Hawkins', '1945-10-16', 'male', '']
['Joe Long', 'n.a.', 'male', '']
['Barby Kelly', '1975-04-28', 'female', '']
['Rusty Young', '1946-02-23', 'male', '']
['B.B. Dickerson', '1995-08-14', 'female', '']
['Patrick Juvet', '1950-08-21', 'male', '']
['Haim Shtrum', 'n.a.', 'n.a.', '']
['Gerry Marsden', '1942-09-24', 'male', '']
['László Benkő', '1943-06-12', 'male', '']
['Mickey McGee', '1947-10-25', 'male', '']
['Florian Schneider', '1959-09-07', 'male', '']
['Bohannon', '1942-03-07', 'male', '']
['Matthew Seligman', '1955-07-14', 'male', '']
['Kenny Young', '1941-04-14', 'male', '']
['Hutch Davie', '1930-08-04', 'male', '']
['Joseph Shabalala', '1941-08-28', 'male', '']
['Ivan Král', '1948-05-12', 'male', '']
['Andy Gill', '1956-01-01', 'male', '']
['Bob Shane', '1934-02-01', 'male', '']
['Neil Peart', '1952-09-12', 'male', '']
['Les Chadwick', '1943-05-11', 'n.a.', '']
['Jerry Jumonville', 'n.a.', 'male', '']
['Iain Sutherland', '1948-11-17', 'male', '']
['Jerry McGee', '1937-11-17', 'male', '']
['Malcolm Duncan', '1945-08-24', 'male', '']
['Edo Zanki', '1952-10-19', 'male', '']
['Wayne Andre', '1931-11-17', 'male', '']
['Larry Taylor', '1955', 'male', '']
['Art Neville', '1937-12-17', 'male', '']
['Gary Duncan', '1946-09-04', 'male', '']
['J.R. Cobb', '1944-02-05', 'male', '']
['John Starling', '1940-03-26', 'male', '']
['Bo-Pee Bowen', '1957', 'male', '']
['Erich Doll', '1948-07-31', 'male', '']
['Danny Kustow', 'n.a.', 'male', '']
['Mark Hollis', '1955-01-04', 'male', '']
['Kofi Burbridge', '1961-09-22', 'male', '']
['Erich Doll', '1948-07-31', 'male', '']
['Danny Kustow', 'n.a.', 'male', '']
['Mark Hollis', '1955-01-04', 'male', '']
['Kofi Burbridge', '1961-09-22', 'male', '']
['Reggie Young', '1936-12-12', 'male', '']
['Steve Madaio', '1948-07-18', 'male', '']
['Clydie King', '1943-08-21', 'female', '']
['Pegi Young', '1952-12-01', 'female', '']
['Ray Sawyer', '1937-02-01', 'male', '']
['Dean Ford', '1946-09-05', 'male', '']
['Joe Osborn', '1937-08-28', 'male', '']
['Skip Knape', 'n.a.', 'male', '']
['Hugh McDowell', '1953-07-31', 'male', '']
['Marty Balin', '1942-01-30', 'male', '']
['Maartin Allcock', '1957-01-05', 'male', '']
['Eddie Willis', '1936-06-03', 'male', '']
['Blue Miller', 'n.a.', 'male', '']
['Alan Longmuir', '1948-06-20', 'male', '']
['Rick DeVito', 'n.a.', 'n.a.', '']
['D.J. Fontana', '1955-03-11', 'male', '']
['Clarence Fountain', '1929-11-28', 'male', '']
['Lys Assia', '1924-03-03', 'female', '']
['Charlie Quintana', '1962', 'male', '']
['Stephen Hawking', '1942-01-08', 'male', '']
['Mickey Jones', '1952-12-17', 'male', '']
['Reg Webb', 'n.a.', 'male', '']
['Jim Rodford', '1941-07-07', 'male', '']
['Fast Eddie Clarke', '1950-10-05', 'male', '']
['Ray Thomas', '1941-12-29', 'male', '']
['Pat DiNizio', '1955-10-12', 'male', '']
['Vincent Nguini', '1952-07', 'male', '']
['Malcolm Young', '1953-01-06', 'male', '']
['Gottfried Böttger', '1949-12-21', 'male', '']
['Grant Hart', '1961-03-18', 'male', '']
['Wilson das Neves', '1936-06-14', 'male', '']
['Goldy McJohn', '1945-05-02', 'male', '']
['Billy Joe Walker, '1952-02-29', 'male', '']
['John Blackwell, '1797', 'male', '']
['Wilson das Neves', '1936-06-14', 'male', '']
['Goldy McJohn', '1945-05-02', 'male', '']
['Billy Joe Walker, '1952-02-29', 'male', '']
['John Blackwell, '1797', 'male', '']
['Kevin Stanton', '1955', 'n.a.', '']
['Casey Jones', '1939-07-26', 'male', '']
['David Angell', 'n.a.', 'male', '']
['Joey Alves', '1953-08-03', 'male', '']
['Noel "Scully" Simms', '1935', 'male', '']
['John Boudreaux', '1936-12-10', 'male', '']
['Larry Muhoberac', '1937-02-12', 'male', '']
['Paul Vincent', '1950-12-01', 'male', '']
['Bobby Ellis', '1932-07-02', 'male', '']
['Dietrich Lohff', 'n.a.', 'male', '']
['Scotty Moore', '1931-12-27', 'male', '']
['Bernie Worrell', '1944-04-19', 'male', '']
['Tomita', 'n.a.', 'n.a.', '']
['James Jamerson Jr.', '1957', 'male', '']
['Hans Reffert', '1946-07-19', 'male', '']
['Reinhard Fißler', '1949-02-06', 'male', '']
['Colin Vearncombe', '1962-05-26', 'male', '']
['Jimmy Bain', '1947-12-19', 'male', '']
['Dale Griffin', '1948-10-24', 'male', '']
['Mic Gillette', '1951-05-07', 'male', '']
['Lemmy', 'n.a.', 'n.a.', '']
['John Bradbury', '1967', 'male', '']
['William Guest', '1941-07-02', 'male', '']
['Snuff Garrett', '1939-07-05', 'male', '']
['Philthy Animal Taylor', '1954-09-21', 'male', '']
['Marlo Henderson', '1948-05-31', 'male', '']
['Jim Diamond', '1951-09-28', 'male', '']
['Gary Richrath', '1949-10-18', 'male', '']
['Rico', '1934-10-17', 'male', '']
['Buddy Buie', '1941-01-23', 'male', '']
['Arthur Wright', 'n.a.', 'male', '']
['Mighty Sam McClain', '1943-04-15', 'male', '']
['John Ward', '1571-05-09', 'male', '']
['Errol Brown', '1943-11-12', 'male', '']
['Andy Fraser', '1952-08-07', 'male', '']
['Mike Porcaro', '1955-05-29', 'male', '']
['David Maxwell', '1943-03-10', 'male', '']
['Joe B. Mauldin', '1940-07-08', 'male', '']
['Demis Roussos', '1946-06-15', 'male', '']
['Dallas Taylor', '1980-05-17', 'male', '']
['Henry Strzelecki', '1939-08-08', 'male', '']
['Ian McLagan', '1945-05-12', 'male', '']
['Rick Rosas', '1949-09-10', 'male', '']
['Uziah "Sticky" Thompson', '1936-08-01', 'male', '']
['Tunde Ra Aleem', 'n.a.', 'male', '']
['Tommy Ramone', '1952-01-29', 'male', '']
['Seymour Barab', '1921-01-09', 'male', '']
['Teenie Hodges', '1945-11-16', 'male', '']
['Weldon Myrick', '1938-04-10', 'male', '']
['Raymond Crisara', 'n.a.', 'male', '']
['Paul Goddard', 'n.a.', 'male', '']
['Armando Peraza', '1924-05-30', 'male', '']
['Joe Lala', '1947-11-03', 'male', '']
['Douglas Sommer', '1979-03', 'male', '']
['Kralle Krawinkel', '1947-04-21', 'male', '']
['Bunny Rugs', '1948-02-06', 'male', '']
['Phil Everly', '1939-01-19', 'male', '']
['Thomas Kurzhals', '1953-12-13', 'male', '']
['Richard Coughlan', '1947-09-02', 'male', '']
['Kermit Moore', '1929-03-11', 'male', '']
['Billy Mure', '1915-11-04', 'male', '']
['Forrest', '1953-04-21', 'male', '']
['Allen Lanier', '1946-06-25', 'male', '']
['Jody Payne', '1936-01-11', 'male', '']
['Alan Myers', '1955', 'male', '']
['David Schwartz', 'n.a.', 'male', '']
['David Richards', 'n.a.', 'male', '']
['Marshall Lytle', '1933-09-01', 'male', '']
['Georges Moustaki', '1934-05-03', 'male', '']
['Trevor Bolder', '1950-06-09', 'male', '']
['Cordell Mosson', '1952-10-16', 'male', '']
['Phil Ramone', '1934-01-05', 'male', '']
['Gordon Stoker', '1924-08-03', 'male', '']
['Derek Watkins', 'n.a.', 'n.a.', '']
['Marie-Claire Alain', '1926-08-10', 'female', '']
['Kevin Peek', '1946-12-21', 'male', '']
['Lee Dorman', '1942-09-15', 'male', '']
['Lloyd Brevett', '1931-08-01', 'male', '']
['James Bond', 'n.a.', 'n.a.', '']
['Greg Ham', '1953-09-27', 'male', '']
['Barney McKenna', '1939-12-16', 'male', '']
['Earl Scruggs', '1924-01-06', 'male', '']
['Hugh McCracken', '1942-03-31', 'male', '']
['Davy Jones', '1945-12-30', 'male', '']
['Roland Bautista', '1951-05-30', 'male', '']
['Hazy Osterwald', '1922-02-18', 'male', '']
['Harvey James', '1952-09-20', 'male', '']
['Barbara Orbison', '1950-01-10', 'female', '']
['Ross McManus', 'n.a.', 'male', '']
['Ludwig Hirsch', '1946-02-28', 'male', '']
['Jackie Leven', '1950-06-18', 'male', '']
['Franz Josef Degenhardt', '1931-12-03', 'male', '']
['Norman Durham', 'n.a.', 'male', '']
['Taz DiGregorio', '1944-01-08', 'male', '']
['Leonard Dillon', '1942-12-09', 'male', '']
['Vesta', 'n.a.', 'n.a.', '']
['Dan Peek', '1950-11-01', 'male', '']
['Alan Rubin', '1943-02-11', 'male', '']
['Lloyd Knibbs', '1931-03-08', 'male', '']
['John Walker', 'n.a.', 'n.a.', '']
['Calvin Russell', '1948-11-01', 'male', '']
['Ralph Mooney', '1928-09-16', 'male', '']
['Kurt Hauenstein', '1949-01-14', 'male', '']
['Jet Harris', '1939-07-06', 'male', '']
['Ronnie Hammond', '1950-11-10', 'male', '']
['Terry Clements', '1947-07-22', 'male', '']
['Emanuel Vardi', '1915-04-21', 'male', '']
['Eddie Mordue', '1928-01-05', 'male', '']
['Steve Prestwich', '1954-03-05', 'male', '']
['Mick Karn', '1958-07-24', 'male', '']
['Bobby Farrell', '1949-10-06', 'male', '']
['Calvin Russell', '1948-11-01', 'male', '']
['Ralph Mooney', '1928-09-16', 'male', '']
['Kurt Hauenstein', '1949-01-14', 'male', '']
['Jet Harris', '1939-07-06', 'male', '']
['Ronnie Hammond', '1950-11-10', 'male', '']
['Terry Clements', '1947-07-22', 'male', '']
