['gender','age','birth_place','death_place','cause_of_death','genres']
['male','78','USA','USA','cancer','jazz']
['male','78','USA','USA','cancer','pop']
['male','85','USA','USA','cancer','folk']
['male','85','USA','USA','cancer','rock']
['male','85','USA','USA','cancer','pop']
['male','80','USA','USA','cancer','rock']
['male','73','UK','UK','cancer','rock']
['male','72','USA','USA','illness','rock']
['male','88','China','Japan','organ failure','classical']
['male','75','USA','USA','cancer','rock']
['male','61','USA','USA','heart attack','rock']
['male','80','USA','UK','cancer','folk']
['male','80','USA','UK','cancer','rock']
['male','80','USA','UK','cancer','pop']
['male','79','UK','USA','accident','rock']
['male','79','UK','USA','accident','pop']
['male','65','UK','Ireland','illness','folk']
['male','65','UK','Ireland','illness','rock']
['female','87','USA','USA','organ failure','rock']
['female','87','USA','USA','organ failure','soul']
['female','87','USA','USA','organ failure','jazz']
['male','71','Jamaica','Jamaica','cancer','soul']
['male','71','Jamaica','Jamaica','cancer','jazz']
['male','68','USA','USA','natural causes','soul']
['male','68','USA','USA','natural causes','jazz']
['male','80','USA','USA','accident','rock']
['male','80','USA','USA','accident','pop']
['male','76','USA','USA','illness','folk']
['male','76','USA','USA','illness','rock']
['male','76','USA','USA','illness','pop']
['male','80','Canada','USA','cancer','rock']
['male','82','Türkiye','Canada','natural causes','rock']
['male','77','USA','USA','illness','pop']
['male','30','USA','USA','illness','pop']
['male','30','USA','USA','illness','folk']
['male','30','USA','USA','illness','jazz']
['female','83','USA','Schweiz','cancer','rock']
['female','83','USA','Schweiz','cancer','soul']
['female','83','USA','Schweiz','cancer','pop']
['male','59','UK','USA','cancer','rock']
['male','82','UK','UK','cancer','rock']
['male','71','Japan','Japan','cancer','electronic']
['male','71','Japan','Japan','cancer','classical']
['male','71','Japan','Japan','cancer','pop']
['male','88','Kingdom','Kingdom','natural causes','soul']
['male','88','Kingdom','Kingdom','natural causes','jazz']
['male','75','UK','UK','organ failure','jazz']
['male','89','USA','USA','natural causes','rock']
['male','89','USA','USA','natural causes','soul']
['male','89','USA','USA','natural causes','jazz']
['male','50','USA','USA','natural causes','jazz']
['male','90','USA','USA','illness','jazz']
['male','78','UK','UK','illness','rock']
['male','78','UK','UK','illness','pop']
['female','74','USA','USA','cancer','electronic']
['female','74','USA','USA','cancer','soul']
['female','74','USA','USA','cancer','pop']
['male','65','UK','UK','natural causes','electronic']
['male','75','UK','USA','cancer','rock']
['male','75','UK','USA','cancer','soul']
['male','75','UK','UK','cancer','rock']
['male','87','USA','USA','illness','folk']
['male','87','USA','USA','illness','rock']
['male','87','USA','USA','illness','soul']
['male','87','USA','USA','illness','jazz']
['female','73','UK','USA','cancer','electronic']
['female','73','UK','USA','cancer','folk']
['female','73','UK','USA','cancer','pop']
['female','79','Australia','Australia','illness','folk']
['female','79','Australia','Australia','illness','pop']
['female','82','Reich','Österreich','natural causes','folk']
['male','79','Ελλάδα','France','illness','electronic']
['male','79','Ελλάδα','France','illness','rock']
['male','79','Ελλάδα','France','illness','classical']
['male','74','Deutschland','Deutschland','illness','electronic']
['male','74','Deutschland','Deutschland','illness','rock']
['male','54','USA','USA','heart attack','soul']
['male','54','USA','USA','heart attack','jazz']
['male','39','USA','USA','cancer','folk']
['male','76','UK','USA','cancer','rock']
['male','76','UK','USA','cancer','jazz']
['male','75','UK','USA','cancer','rock']
['male','75','Canada','USA','cancer','soul']
['male','74','USA','USA','illness','rock']
['female','78','USA','USA','cancer','rock']
['female','78','USA','USA','cancer','soul']
['male','68','Jamaica','USA','illness','soul']
['male','79','Reich','Deutschland','accident','folk']
['male','84','UK','UK','illness','electronic']
['male','84','UK','UK','illness','soul']
['male','84','UK','UK','illness','pop']
['male','80','USA','UK','natural causes','jazz']
['male','77','Mähren','Česko','cancer','soul']
['male','77','Mähren','Česko','cancer','jazz']
['male','80','UK','UK','cancer','jazz']
['male','72','USA','USA','natural causes','rock']
['male','90','USA','Deutschland','natural causes','folk']
['male','90','USA','Deutschland','natural causes','jazz']
['male','76','UK','Zealand','cancer','rock']
['male','73','USA','Japan','illness','jazz']
['male','77','USA','USA','natural causes','classical']
['male','73','Jamaica','Jamaica','stroke','soul']
['male','81','USA','USA','illness','rock']
['male','81','USA','USA','illness','pop']
['male','75','USA','USA','organ failure','rock']
['male','84','USA','USA','illness','electronic']
['male','84','USA','USA','illness','rock']
['male','68','USA','USA','cancer','rock']
['male','90','USA','USA','natural causes','jazz']
['male','83','USA','USA','stroke','folk']
['male','83','USA','USA','stroke','rock']
['female','69','USA','USA','heart attack','electronic']
['female','69','USA','USA','heart attack','folk']
['female','69','USA','USA','heart attack','soul']
['male','38','USA','USA','cancer','soul']
['male','38','USA','USA','cancer','jazz']
['male','70','Guinée','Guinée','illness','soul']
['male','75','UK','UK','illness','rock']
['male','66','UK','USA','heart attack','rock']
['male','74','USA','USA','heart attack','soul']
['male','59','USA','USA','illness','soul']
['male','59','USA','USA','illness','jazz']
['male','86','Cameroun','France','illness','soul']
['male','86','Cameroun','France','illness','jazz']
['male','80','USA','USA','illness','folk']
['male','81','USA','USA','natural causes','electronic']
['male','81','USA','USA','natural causes','soul']
['male','81','USA','USA','natural causes','jazz']
['male','88','USA','USA','natural causes','soul']
['male','88','USA','USA','natural causes','jazz']
['female','61','Sverige','Sverige','organ failure','pop']
['male','71','USA','USA','cancer','rock']
['male','80','UK','UK','natural causes','rock']
['male','80','UK','UK','natural causes','soul']
['male','80','UK','UK','natural causes','jazz']
['male','75','USA','USA','natural causes','rock']
['male','75','USA','USA','natural causes','pop']
['male','72','Deutschland','Canada','illness','rock']
['male','50','USA','USA','suicide','folk']
['male','50','USA','USA','suicide','rock']
['female','72','USA','USA','cancer','pop']
['male','73','UK','UK','heart attack','jazz']
['male','77','USA','USA','heart attack','jazz']
['male','77','USA','USA','heart attack','rock']
['male','77','USA','USA','heart attack','soul']
['male','77','USA','USA','heart attack','folk']
['male','81','USA','USA','organ failure','rock']
['male','90','USA','USA','natural causes','rock']
['male','77','USA','USA','cancer','rock']
['male','66','USA','USA','organ failure','soul']
['male','66','USA','USA','organ failure','pop']
['male','37','USA','USA','natural causes','soul']
['male','37','USA','USA','natural causes','jazz']
['male','79','USA','USA','stroke','jazz']
['male','75','USA','USA','heart attack','folk']
['male','75','USA','USA','heart attack','rock']
['female','85','España','España','natural causes','classical']
['male','90','USA','USA','natural causes','jazz']
['male','68','USA','USA','cancer','rock']
['female','76','USA','USA','cancer','folk']
['female','76','USA','USA','cancer','soul']
['female','76','USA','USA','cancer','jazz']
['male','73','UK','UK','organ failure','jazz']
['male','68','UK','UK','illness','rock']
['male','65','USA','USA','accident','soul']
['male','65','USA','USA','accident','jazz']
['male','89','Schweiz','Deutschland','illness','jazz']
['male','79','USA','USA','cancer','jazz']
['male','74','USA','USA','illness','soul']
['male','78','Africa','Africa','cancer','soul']
['male','78','Africa','Africa','cancer','jazz']
['male','71','Kingdom','España','cancer','rock']
['male','71','Kingdom','España','cancer','soul']
['male','71','Kingdom','España','cancer','jazz']
['male','61','USA','USA','accident','jazz']
['male','65','USA','USA','natural causes','jazz']
['male','89','USA','USA','natural causes','rock']
['male','89','USA','USA','natural causes','soul']
['male','85','USA','USA','illness','soul']
['male','85','USA','USA','illness','jazz']
['male','66','USA','USA','overdose','rock']
['male','66','USA','USA','overdose','pop']
['male','77','Brasil','Brasil','heart attack','jazz']
['male','67','USA','USA','cancer','rock']
['male','72','USA','USA','organ failure','rock']
['male','72','USA','USA','organ failure','jazz']
['male','47','Australia','Australia','illness','folk']
['male','41','USA','USA','suicide','rock']
['male','67','Österreich','Österreich','cancer','pop']
['male','70','Africa','Africa','cancer','jazz']
['male','69','USA','USA','illness','rock']
['male','69','USA','USA','illness','soul']
['male','69','USA','USA','illness','folk']
['male','52','USA','USA','suicide','rock']
['male','52','USA','USA','suicide','pop']
['male','70','UK','USA','accident','electronic']
['male','70','UK','USA','accident','rock']
['male','70','UK','USA','accident','jazz']
['male','71','USA','USA','natural causes','rock']
['male','81','USA','USA','illness','soul']
['female','64','USA','USA','heart attack','rock']
['male','87','USA','USA','natural causes','jazz']
['male','86','USA','Danmark','illness','soul']
['male','86','USA','Danmark','illness','jazz']
['male','73','USA','USA','organ failure','soul']
['male','73','USA','USA','organ failure','jazz']
['male','76','USA','USA','organ failure','rock']
['male','76','USA','USA','organ failure','soul']
['male','76','USA','USA','organ failure','jazz']
['male','67','UK','UK','cancer','rock']
['male','69','USA','USA','murder','rock']
['male','74','Deutschland','Deutschland','illness','folk']
['male','78','Deutschland','Deutschland','illness','electronic']
['male','78','Deutschland','Deutschland','illness','rock']
['male','78','Deutschland','Deutschland','illness','soul']
['male','78','Deutschland','Deutschland','illness','jazz']
['male','75','गणराज्य','UK','natural causes','pop']
['male','68','UK','España','illness','rock']
['male','69','UK','UK','cancer','rock']
['male','74','USA','USA','illness','pop']
['male','74','USA','USA','illness','rock']
['male','74','USA','USA','illness','soul']
['male','74','USA','USA','illness','folk']
['male','82','Canada','USA','illness','pop']
['male','82','Canada','USA','illness','rock']
['male','82','Canada','USA','illness','soul']
['male','82','Canada','USA','illness','folk']
['male','73','USA','USA','illness','rock']
['male','56','UK','UK','natural causes','classical']
['male','77','USA','USA','illness','folk']
['male','39','Belgique/België','Belgique','natural causes','jazz']
['male','75','USA','USA','illness','soul']
['male','75','USA','USA','illness','jazz']
['male','68','USA','Japan','natural causes','soul']
['male','68','USA','Japan','natural causes','jazz']
['male','72','UK','UK','stroke','rock']
['male','75','UK','UK','natural causes','rock']
['male','75','UK','UK','natural causes','folk']
['male','71','UK','UK','illness','rock']
['male','68','Deutschland','Deutschland','organ failure','rock']
['male','79','USA','USA','illness','folk']
['male','71','UK','USA','suicide','electronic']
['male','71','UK','USA','suicide','rock']
['male','71','Brasil','Brasil','cancer','jazz']
['male','90','UK','UK','natural causes','rock']
['male','90','UK','UK','natural causes','pop']
['female','57','USA','USA','organ failure','soul']
['male','74','USA','USA','accident','electronic']
['male','74','USA','USA','accident','soul']
['male','74','USA','USA','organ failure','rock']
['male','67','USA','USA','illness','rock']
['male','67','USA','USA','illness','pop']
['male','76','USA','USA','cancer','soul']
['male','69','UK','USA','cancer','rock']
['male','69','UK','USA','cancer','pop']
['male','90','France','Deutschland','natural causes','classical']
['male','48','USA','USA','overdose','rock']
['male','82','USA','USA','illness','soul']
['male','82','USA','USA','illness','jazz']
['male','75','USA','USA','illness','jazz']
['male','66','UK','UK','heart attack','rock']
['male','78','USA','USA','heart attack','folk']
['male','67','UK','USA','illness','rock']
['male','88','Belgique','Deutschland','natural causes','jazz']
['male','78','USA','USA','organ failure','soul']
['male','78','USA','USA','organ failure','jazz']
['male','89','USA','USA','illness','rock']
['male','89','USA','USA','illness','soul']
['male','74','USA','USA','cancer','soul']
['male','71','USA','USA','heart attack','jazz']
['male','68','UK','UK','accident','rock']
['male','68','UK','UK','accident','pop']
['male','73','USA','USA','illness','rock']
['male','66','USA','USA','natural causes','soul']
['male','66','USA','USA','natural causes','jazz']
['male','76','USA','USA','stroke','soul']
['male','70','Reich','Österreich','illness','electronic']
['male','70','Reich','Österreich','illness','rock']
['male','59','USA','USA','illness','jazz']
['male','70','UK','USA','cancer','rock']
['male','70','UK','USA','cancer','pop']
['male','70','USA','USA','illness','rock']
['male','71','UK','UK','cancer','rock']
['male','71','UK','UK','cancer','jazz']
['male','60','UK','UK','heart attack','rock']
['male','60','UK','UK','heart attack','jazz']
['male','72','USA','USA','heart attack','pop']
['male','72','USA','USA','heart attack','jazz']
['male','84','Canada','UK','natural causes','rock']
['male','84','Canada','UK','natural causes','soul']
['male','84','Canada','UK','natural causes','jazz']
['male','75','USA','USA','cancer','jazz']
['male','42','USA','USA','illness','jazz']
['male','63','USA','USA','organ failure','rock']
['male','67','Kingdom','USA','organ failure','rock']
['male','84','France','USA','illness','classical']
['male','85','USA','USA','natural causes','soul']
['male','85','USA','USA','natural causes','jazz']
['male','70','USA','USA','illness','soul']
['male','62','USA','USA','cancer','rock']
['male','30','USA','USA','organ failure','jazz']
['male','66','España','México','heart attack','folk']
['male','66','España','México','heart attack','classical']
['male','66','España','México','heart attack','jazz']
['male','67','Deutschland','Deutschland','illness','rock']
['male','80','Italia','Italia','natural causes','classical']
['male','59','USA','USA','organ failure','jazz']
['male','71','USA','USA','organ failure','rock']
['male','71','USA','USA','organ failure','pop']
['male','87','UK','España','illness','jazz']
['female','62','UK','UK','illness','jazz']
['male','58','Deutschland','Deutschland','natural causes','jazz']
['male','79','USA','USA','natural causes','soul']
['male','79','USA','USA','natural causes','jazz']
['male','67','USA','USA','illness','rock']
['male','67','USA','USA','illness','soul']
['male','67','USA','USA','illness','jazz']
['male','74','USA','USA','heart attack','rock']
['male','74','USA','USA','heart attack','soul']
['female','61','USA','USA','cancer','jazz']
['male','84','USA','USA','heart attack','jazz']
['male','74','USA','Deutschland','cancer','folk']
['male','74','USA','Deutschland','cancer','jazz']
['male','74','USA','Deutschland','cancer','classical']
['male','74','USA','Deutschland','cancer','rock']
['male','74','USA','Deutschland','cancer','pop']
['male','81','USA','USA','organ failure','folk']
['male','72','USA','USA','heart attack','folk']
['male','72','USA','USA','heart attack','rock']
