['gender','age','birth_place','death_place','cause_of_death','musical_skills','genres']
['male','78','USA','USA','cancer','saxophone','jazz']
['male','78','USA','USA','cancer','saxophone','pop']
['male','78','USA','USA','cancer','flute','jazz']
['male','78','USA','USA','cancer','flute','pop']
['male','85','USA','USA','cancer','guitar','folk']
['male','85','USA','USA','cancer','guitar','rock']
['male','85','USA','USA','cancer','guitar','pop']
['male','80','USA','USA','cancer','vocals','rock']
['male','80','USA','USA','cancer','guitar','rock']
['male','73','UK','UK','cancer','vocals','rock']
['male','73','UK','UK','cancer','guitar','rock']
['male','72','USA','USA','illness','bass','rock']
['male','88','China','Japan','organ failure','guitar','classical']
['male','75','USA','USA','cancer','guitar','rock']
['male','61','USA','USA','heart attack','drums','rock']
['male','80','USA','UK','cancer','vocals','folk']
['male','80','USA','UK','cancer','vocals','rock']
['male','80','USA','UK','cancer','vocals','pop']
['male','80','USA','UK','cancer','guitar','folk']
['male','80','USA','UK','cancer','guitar','rock']
['male','80','USA','UK','cancer','guitar','pop']
['male','79','UK','USA','accident','drums','rock']
['male','79','UK','USA','accident','drums','pop']
['male','79','UK','USA','accident','bass','rock']
['male','79','UK','USA','accident','bass','pop']
['male','79','UK','USA','accident','vocals','rock']
['male','79','UK','USA','accident','vocals','pop']
['male','79','UK','USA','accident','guitar','rock']
['male','79','UK','USA','accident','guitar','pop']
['male','79','UK','USA','accident','piano','rock']
['male','79','UK','USA','accident','piano','pop']
['male','65','UK','Ireland','illness','vocals','folk']
['male','65','UK','Ireland','illness','vocals','rock']
['male','65','UK','Ireland','illness','piano','folk']
['male','65','UK','Ireland','illness','piano','rock']
['male','65','UK','Ireland','illness','guitar','folk']
['male','65','UK','Ireland','illness','guitar','rock']
['female','87','USA','USA','organ failure','piano','rock']
['female','87','USA','USA','organ failure','piano','soul']
['female','87','USA','USA','organ failure','piano','jazz']
['male','71','Jamaica','Jamaica','cancer','piano','soul']
['male','71','Jamaica','Jamaica','cancer','piano','jazz']
['male','68','USA','USA','natural causes','bass','soul']
['male','68','USA','USA','natural causes','bass','jazz']
['male','80','USA','USA','accident','vocals','rock']
['male','80','USA','USA','accident','vocals','pop']
['male','80','USA','USA','accident','piano','rock']
['male','80','USA','USA','accident','piano','pop']
['male','76','USA','USA','illness','vocals','folk']
['male','76','USA','USA','illness','vocals','rock']
['male','76','USA','USA','illness','vocals','pop']
['male','76','USA','USA','illness','guitar','folk']
['male','76','USA','USA','illness','guitar','rock']
['male','76','USA','USA','illness','guitar','pop']
['male','80','Canada','USA','cancer','vocals','rock']
['male','80','Canada','USA','cancer','guitar','rock']
['male','82','Türkiye','Canada','natural causes','bass','rock']
['male','82','Türkiye','Canada','natural causes','guitar','rock']
['male','77','USA','USA','illness','vocals','pop']
['male','77','USA','USA','illness','bass','pop']
['male','30','USA','USA','illness','vocals','pop']
['male','30','USA','USA','illness','vocals','folk']
['male','30','USA','USA','illness','vocals','jazz']
['female','83','USA','Schweiz','cancer','vocals','rock']
['female','83','USA','Schweiz','cancer','vocals','soul']
['female','83','USA','Schweiz','cancer','vocals','pop']
['male','59','UK','USA','cancer','bass','rock']
['male','82','UK','UK','cancer','vocals','rock']
['male','71','Japan','Japan','cancer','vocals','electronic']
['male','71','Japan','Japan','cancer','vocals','classical']
['male','71','Japan','Japan','cancer','vocals','pop']
['male','71','Japan','Japan','cancer','drums','electronic']
['male','71','Japan','Japan','cancer','drums','classical']
['male','71','Japan','Japan','cancer','drums','pop']
['male','71','Japan','Japan','cancer','piano','electronic']
['male','71','Japan','Japan','cancer','piano','classical']
['male','71','Japan','Japan','cancer','piano','pop']
['male','88','Kingdom','Kingdom','natural causes','saxophone','soul']
['male','88','Kingdom','Kingdom','natural causes','saxophone','jazz']
['male','88','Kingdom','Kingdom','natural causes','flute','soul']
['male','88','Kingdom','Kingdom','natural causes','flute','jazz']
['male','75','UK','UK','organ failure','piano','jazz']
['male','89','USA','USA','natural causes','saxophone','rock']
['male','89','USA','USA','natural causes','saxophone','soul']
['male','89','USA','USA','natural causes','saxophone','jazz']
['male','50','USA','USA','natural causes','trumpet','jazz']
['male','90','USA','USA','illness','saxophone','jazz']
['male','90','USA','USA','illness','flute','jazz']
['male','78','UK','UK','illness','guitar','rock']
['male','78','UK','UK','illness','guitar','pop']
['female','74','USA','USA','cancer','vocals','electronic']
['female','74','USA','USA','cancer','vocals','soul']
['female','74','USA','USA','cancer','vocals','pop']
['male','65','UK','UK','natural causes','vocals','electronic']
['male','65','UK','UK','natural causes','guitar','electronic']
['male','75','UK','USA','cancer','vocals','rock']
['male','75','UK','USA','cancer','vocals','soul']
['male','75','UK','USA','cancer','guitar','rock']
['male','75','UK','USA','cancer','guitar','soul']
['male','75','UK','UK','cancer','guitar','rock']
['male','87','USA','USA','illness','vocals','folk']
['male','87','USA','USA','illness','vocals','rock']
['male','87','USA','USA','illness','vocals','soul']
['male','87','USA','USA','illness','vocals','jazz']
['male','87','USA','USA','illness','piano','folk']
['male','87','USA','USA','illness','piano','rock']
['male','87','USA','USA','illness','piano','soul']
['male','87','USA','USA','illness','piano','jazz']
['female','73','UK','USA','cancer','vocals','electronic']
['female','73','UK','USA','cancer','vocals','folk']
['female','73','UK','USA','cancer','vocals','pop']
['female','79','Australia','Australia','illness','vocals','folk']
['female','79','Australia','Australia','illness','vocals','pop']
['female','82','Reich','Österreich','natural causes','vocals','folk']
['male','79','Ελλάδα','France','illness','vocals','electronic']
['male','79','Ελλάδα','France','illness','vocals','rock']
['male','79','Ελλάδα','France','illness','vocals','classical']
['male','79','Ελλάδα','France','illness','drums','electronic']
['male','79','Ελλάδα','France','illness','drums','rock']
['male','79','Ελλάδα','France','illness','drums','classical']
['male','79','Ελλάδα','France','illness','piano','electronic']
['male','79','Ελλάδα','France','illness','piano','rock']
['male','79','Ελλάδα','France','illness','piano','classical']
['male','79','Ελλάδα','France','illness','flute','electronic']
['male','79','Ελλάδα','France','illness','flute','rock']
['male','79','Ελλάδα','France','illness','flute','classical']
['male','74','Deutschland','Deutschland','illness','piano','electronic']
['male','74','Deutschland','Deutschland','illness','piano','rock']
['male','74','Deutschland','Deutschland','illness','guitar','electronic']
['male','74','Deutschland','Deutschland','illness','guitar','rock']
['male','54','USA','USA','heart attack','bass','soul']
['male','54','USA','USA','heart attack','bass','jazz']
['male','39','USA','USA','cancer','vocals','folk']
['male','76','UK','USA','cancer','vocals','rock']
['male','76','UK','USA','cancer','vocals','jazz']
['male','76','UK','USA','cancer','piano','rock']
['male','76','UK','USA','cancer','piano','jazz']
['male','75','UK','USA','cancer','saxophone','rock']
['male','75','UK','USA','cancer','flute','rock']
['male','75','UK','USA','cancer','vocals','rock']
['male','75','UK','USA','cancer','guitar','rock']
['male','75','UK','USA','cancer','piano','rock']
['male','75','Canada','USA','cancer','vocals','soul']
['male','74','USA','USA','illness','vocals','rock']
['female','78','USA','USA','cancer','vocals','rock']
['female','78','USA','USA','cancer','vocals','soul']
['male','68','Jamaica','USA','illness','vocals','soul']
['male','68','Jamaica','USA','illness','drums','soul']
['male','79','Reich','Deutschland','accident','vocals','folk']
['male','84','UK','UK','illness','piano','electronic']
['male','84','UK','UK','illness','piano','soul']
['male','84','UK','UK','illness','piano','pop']
['male','80','USA','UK','natural causes','saxophone','jazz']
['male','80','USA','UK','natural causes','flute','jazz']
['male','77','Mähren','Česko','cancer','bass','soul']
['male','77','Mähren','Česko','cancer','bass','jazz']
['male','80','UK','UK','cancer','drums','jazz']
['male','72','USA','USA','natural causes','vocals','rock']
['male','72','USA','USA','natural causes','bass','rock']
['male','90','USA','Deutschland','natural causes','vocals','folk']
['male','90','USA','Deutschland','natural causes','vocals','jazz']
['male','90','USA','Deutschland','natural causes','drums','folk']
['male','90','USA','Deutschland','natural causes','drums','jazz']
['male','90','USA','Deutschland','natural causes','piano','folk']
['male','90','USA','Deutschland','natural causes','piano','jazz']
['male','76','UK','Zealand','cancer','piano','rock']
['male','76','UK','Zealand','cancer','guitar','rock']
['male','73','USA','Japan','illness','bass','jazz']
['male','77','USA','USA','natural causes','piano','classical']
['male','73','Jamaica','Jamaica','stroke','vocals','soul']
['male','81','USA','USA','illness','drums','rock']
['male','81','USA','USA','illness','drums','pop']
['male','81','USA','USA','illness','bass','rock']
['male','81','USA','USA','illness','bass','pop']
['male','75','USA','USA','organ failure','vocals','rock']
['male','75','USA','USA','organ failure','guitar','rock']
['male','84','USA','USA','illness','piano','electronic']
['male','84','USA','USA','illness','piano','rock']
['male','84','USA','USA','illness','guitar','electronic']
['male','84','USA','USA','illness','guitar','rock']
['male','68','USA','USA','cancer','drums','rock']
['male','90','USA','USA','natural causes','drums','jazz']
['male','90','USA','USA','natural causes','piano','jazz']
['male','83','USA','USA','stroke','vocals','folk']
['male','83','USA','USA','stroke','vocals','rock']
['male','83','USA','USA','stroke','guitar','folk']
['male','83','USA','USA','stroke','guitar','rock']
['female','69','USA','USA','heart attack','vocals','electronic']
['female','69','USA','USA','heart attack','vocals','folk']
['female','69','USA','USA','heart attack','vocals','soul']
['male','38','USA','USA','cancer','drums','soul']
['male','38','USA','USA','cancer','drums','jazz']
['male','70','Guinée','Guinée','illness','vocals','soul']
['male','70','Guinée','Guinée','illness','guitar','soul']
['male','75','UK','UK','illness','vocals','rock']
['male','75','UK','UK','illness','guitar','rock']
['male','75','UK','UK','illness','saxophone','rock']
['male','66','UK','USA','heart attack','vocals','rock']
['male','66','UK','USA','heart attack','saxophone','rock']
['male','74','USA','USA','heart attack','vocals','soul']
['male','59','USA','USA','illness','trumpet','soul']
['male','59','USA','USA','illness','trumpet','jazz']
['male','86','Cameroun','France','illness','vocals','soul']
['male','86','Cameroun','France','illness','vocals','jazz']
['male','86','Cameroun','France','illness','saxophone','soul']
['male','86','Cameroun','France','illness','saxophone','jazz']
['male','80','USA','USA','illness','guitar','folk']
['male','81','USA','USA','natural causes','piano','electronic']
['male','81','USA','USA','natural causes','piano','soul']
['male','81','USA','USA','natural causes','piano','jazz']
['male','88','USA','USA','natural causes','trumpet','soul']
['male','88','USA','USA','natural causes','trumpet','jazz']
['female','61','Sverige','Sverige','organ failure','vocals','pop']
['female','61','Sverige','Sverige','organ failure','piano','pop']
['male','71','USA','USA','cancer','vocals','rock']
['male','71','USA','USA','cancer','guitar','rock']
['male','80','UK','UK','natural causes','vocals','rock']
['male','80','UK','UK','natural causes','vocals','soul']
['male','80','UK','UK','natural causes','vocals','jazz']
