['gender','age','birth_place','death_place','cause_of_death','musical_skills']
['male','78','USA','USA','cancer','saxophone']
['male','78','USA','USA','cancer','flute']
['male','85','USA','USA','cancer','guitar']
['male','80','USA','USA','cancer','vocals']
['male','80','USA','USA','cancer','guitar']
['male','81','USA','USA','illness','vocals']
['male','73','UK','UK','cancer','vocals']
['male','73','UK','UK','cancer','guitar']
['male','72','USA','USA','illness','bass']
['male','88','China','Japan','organ failure','guitar']
['male','75','USA','USA','cancer','guitar']
['male','61','USA','USA','heart attack','drums']
['male','80','USA','UK','cancer','vocals']
['male','80','USA','UK','cancer','guitar']
['male','79','UK','USA','accident','drums']
['male','79','UK','USA','accident','bass']
['male','79','UK','USA','accident','vocals']
['male','79','UK','USA','accident','guitar']
['male','79','UK','USA','accident','piano']
['male','65','UK','Ireland','illness','vocals']
['male','65','UK','Ireland','illness','piano']
['male','65','UK','Ireland','illness','guitar']
['male','64','UK','Česko','stroke','guitar']
['female','87','USA','USA','organ failure','piano']
['male','71','Jamaica','Jamaica','cancer','piano']
['male','84','USA','USA','heart attack','vocals']
['male','68','USA','USA','natural causes','bass']
['male','80','USA','USA','accident','vocals']
['male','80','USA','USA','accident','piano']
['male','76','USA','USA','illness','vocals']
['male','76','USA','USA','illness','guitar']
['male','80','Canada','USA','cancer','vocals']
['male','80','Canada','USA','cancer','guitar']
['male','82','Türkiye','Canada','natural causes','bass']
['male','82','Türkiye','Canada','natural causes','guitar']
['male','73','USA','España','cancer','vocals']
['male','77','USA','USA','illness','vocals']
['male','77','USA','USA','illness','bass']
['male','30','USA','USA','illness','vocals']
['female','83','USA','Schweiz','cancer','vocals']
['male','59','UK','USA','cancer','bass']
['male','82','UK','UK','cancer','vocals']
['male','73','UK','UK','cancer','drums']
['male','73','UK','UK','cancer','strings']
['male','73','UK','UK','cancer','piano']
['male','73','UK','UK','cancer','guitar']
['male','69','UK','UK','illness','vocals']
['male','69','UK','UK','illness','guitar']
['male','71','Japan','Japan','cancer','vocals']
['male','71','Japan','Japan','cancer','drums']
['male','71','Japan','Japan','cancer','piano']
['male','88','Kingdom','Kingdom','natural causes','saxophone']
['male','88','Kingdom','Kingdom','natural causes','flute']
['male','75','UK','UK','organ failure','piano']
['male','89','USA','USA','natural causes','saxophone']
['male','50','USA','USA','natural causes','trumpet']
['male','90','USA','USA','illness','saxophone']
['male','90','USA','USA','illness','flute']
['male','78','UK','UK','illness','guitar']
['female','74','USA','USA','cancer','vocals']
['male','65','UK','UK','natural causes','vocals']
['male','65','UK','UK','natural causes','guitar']
['male','55','UK','UK','organ failure','piano']
['male','75','UK','USA','cancer','vocals']
['male','75','UK','USA','cancer','guitar']
['male','77','Schweden','Schweden','illness','vocals']
['male','75','UK','UK','cancer','guitar']
['male','87','USA','USA','illness','vocals']
['male','87','USA','USA','illness','piano']
['male','66','USA','Schweiz','suicide','drums']
